,Zone,class,ID,AreaSQKM,Percent,AllInitCount,AllInitPercent,AllPvalues,AftInitCount,AftInitPercent,AftPvalues
1,1,boundary,4,33671,17.8,1,6.7,0.94748,1,9.1,0.88476
2,1,grass,2,74466,39.4,4,26.7,0.9022,1,9.1,0.99598
3,1,sparse,3,13473,7.1,1,6.7,0.67062,1,9.1,0.55709
4,1,tree,1,67190,35.6,9,60,0.04687,8,72.7,0.01368
5,2,boundary,4,36872,20.4,NA,NA,NA,NA,NA,NA
6,2,grass,2,114696,63.5,9,52.9,0.87561,NA,NA,NA
7,2,orography,7,2314,1.3,NA,NA,NA,NA,NA,NA
8,2,sparse,3,11787,6.5,3,17.6,0.09526,1,100,0.08246
9,2,tree,1,14889,8.2,5,29.4,0.01015,NA,NA,NA
10,3,boundary,4,20729,11.5,4,10,0.68711,3,13,0.49979
11,3,grass,2,107786,59.6,18,45,0.97825,6,26.1,0.99975
12,3,orography,7,481,0.3,NA,NA,NA,NA,NA,NA
13,3,sparse,3,49131,27.1,16,40,0.05327,12,52.2,0.00946
14,3,tree,1,2846,1.6,2,5,0.13055,2,8.7,0.0503
15,4,boundary,4,29095,15.5,6,13.6,0.91505,6,23.1,0.45519
16,4,grass,2,115942,61.7,26,59.1,0,14,53.8,0
17,4,sparse,3,38791,20.6,12,27.3,1,6,23.1,0.99999
18,4,tree,1,4096,2.2,NA,NA,NA,NA,NA,NA
19,5,boundary,4,35976,19,11,16.7,0.00593,6,12.2,0.12656
20,5,grass,2,127238,67.2,44,66.7,0,35,71.4,0
21,5,orography,7,10832,5.7,NA,NA,NA,NA,NA,NA
22,5,sparse,3,13277,7,3,4.5,1,2,4.1,1
23,5,tree,1,2037,1.1,NA,NA,NA,NA,NA,NA
24,6,boundary,4,40627,21.3,16,25.4,0.25455,3,9.7,0.974
25,6,grass,2,18324,9.6,4,6.3,0.86618,2,6.5,0.81215
26,6,orography,7,29855,15.6,NA,NA,NA,NA,NA,NA
27,6,tree,1,102055,53.5,26,41.3,0.98064,13,41.9,0.92885
28,7,boundary,4,80408,41.5,43,47.8,0.13409,29,60.4,0.00625
29,7,grass,2,21990,11.3,14,15.6,0.13779,11,22.9,0.01674
30,7,orography,7,2636,1.4,NA,NA,NA,NA,NA,NA
31,7,tree,1,88877,45.8,31,34.4,0.98917,8,16.7,1
32,8,boundary,4,73876,38.1,24,33.8,0.99998,17,31.5,0.99997
33,8,grass,2,111388,57.4,47,66.2,0,37,68.5,0
34,8,tree,1,8645,4.5,NA,NA,NA,NA,NA,NA
35,9,boundary,4,65653,34.4,27,22.7,0.99805,19,22.4,0.99447
36,9,grass,2,74115,38.9,43,36.1,0.7599,25,29.4,0.97327
37,9,orography,7,934,0.5,NA,NA,NA,NA,NA,NA
38,9,tree,1,49894,26.2,49,41.2,0.00026,41,48.2,1.00E-05
39,10,boundary,4,17871,9.3,1,1.6,0.99737,1,3.6,0.99873
40,10,grass,2,40813,21.2,15,24.6,0.30363,11,39.3,0.08744
41,10,orography,7,83682,43.5,NA,NA,NA,NA,NA,NA
42,10,tree,1,50165,26.1,6,9.8,0.99957,NA,NA,NA
43,11,boundary,4,54543,30.8,40,26.7,0.88253,13,17.8,0.99598
44,11,grass,2,4730,2.7,3,2,0.76662,2,2.7,0.58364
45,11,orography,7,42278,23.9,NA,NA,NA,NA,NA,NA
46,11,tree,1,75591,42.7,55,36.7,0.94261,31,42.5,0.5589
47,12,boundary,4,94036,50.8,49,52.1,0.44249,30,55.6,0.28946
48,12,grass,2,24576,13.3,9,9.6,0.89174,8,14.8,0.42914
49,12,orography,7,95,0.1,NA,NA,NA,NA,NA,NA
50,12,tree,1,66235,35.8,36,38.3,0.34346,16,29.6,0.86279
51,13,boundary,4,74166,43.5,36,41.9,0.66129,26,47.3,0.33403
52,13,grass,2,71051,41.7,38,44.2,0.35805,26,47.3,0.24035
53,13,orography,7,4997,2.9,NA,NA,NA,NA,NA,NA
54,13,tree,1,20182,11.8,3,3.5,0.99846,2,3.6,0.99182
55,14,boundary,4,70698,54.5,25,32.1,0.99998,15,39.5,0.97819
56,14,grass,2,37669,29,35,44.9,0.00212,16,42.1,0.05839
57,14,orography,7,636,0.5,NA,NA,NA,NA,NA,NA
58,14,tree,1,20793,16,15,19.2,0.261,7,18.4,0.40863
59,15,boundary,4,50311,26.9,36,38.3,0.01058,19,32.2,0.2183
60,15,grass,2,11522,6.2,8,8.5,0.22304,7,11.9,0.06999
61,15,orography,7,2392,1.3,NA,NA,NA,NA,NA,NA
62,15,tree,1,122690,65.6,49,52.1,0.9975,32,54.2,0.97439
